id,distance,latitude,longitude,rating,review_count,price
Al_a80mpkQR9UClrWQ7vLw,31112.78807882897,36.71088899431,-81.9712793827057,4.5,147,$$
d52Grc4pt1prPjzXGwZ-Fw,25480.378408370878,36.7989582,-81.6817132,3.5,24,$
xAo85kL7LmnLn1PSDNrrYQ,32215.205142473907,36.8331655084097,-81.518821,4.5,42,$$
iGULkBUO8q3BaYNeElcXOw,26116.21626829032,36.79038,-81.77082,5.0,1,$$
Q3oDbsjYCoMBVYrpG_lgeQ,12741.8291092187,36.6367801074295,-81.7859965185547,3.0,8,$$
vGEBc2sJRU4XnSy8vQUAaA,12361.582775907358,36.6336250305176,-81.7839202880859,4.5,2,$$
5rVU2i3vWyxDSKIPPJRlyA,30964.182261910446,36.71337,-81.96762,4.5,80,$$
cBU83LFoKldOic-fqE_gOQ,26851.147895618997,36.77557,-81.82859,4.0,24,$
CSg_aDY6ZAMnI1cCI27jZQ,32244.890037106976,36.8331985,-81.5181885,4.5,76,$$
WF9hxCNgulT45d9iu5ZagA,32208.6482064901,36.8333282470703,-81.5195465087891,4.0,12,$$
JMM_M5Muzaj8fT2P5hG8lg,32999.7936962322,36.7040076816716,-81.999992523036,4.5,59,$$
wFmprROaZHN8o23aMn1qqA,31618.29747542867,36.70887,-81.97908,4.0,188,$$
Y30UP5IlC7N4gF6B4HivEg,32304.434565197193,36.8335113525391,-81.517578125,5.0,19,$$
ENtADDlFxYPA4zdtCVj2Sw,6134.03474247316,36.6227017,-81.1489334,4.0,6,$
6A_5CGX19KKFu54HaPffsA,6202.154859840169,36.6217178106308,-81.1451704055071,3.5,6,$
fLcxKsQsLScbwTyNtGapqA,5698.979516845078,36.6205139160156,-81.1592407226562,3.5,7,$
MX7Z2RC3uoMKbXa7C0RG_w,5682.209923139219,36.62014,-81.1577499,3.0,1,$
m7PsN8B2ApQeA_7t8Oq2-A,6187.076087810669,36.6209938,-81.1426832,3.5,6,$
vPPIBCa3S7sA6kAZNVTOAQ,1482.924297544266,36.5727005004883,-80.6543579101562,4.0,20,$
wZSxjh6_jKcMNVdAz93qVQ,6378.489526408054,36.5794885927091,-80.7404450064359,1.5,6,$$
LDh7XtU2pvzGe-fQGAZ01A,11329.805592116349,36.6330768067563,-80.269675925374,4.0,17,$$
RW5Rh-I4pL0pw4k84qYwNg,7738.6566171990535,36.634452,-80.202708,5.0,2,$
C_BQSPVRh06VN19sMEADSA,11924.110917223345,36.64144,-80.26952,3.5,12,$$
WYSbXgNMIhNHMK07bC2BcA,11944.607580618118,36.6417029,-80.2697034,4.5,15,$
2EfaYGCIvB2dQ_o3N0a0mw,11950.805595705855,36.6421166807413,-80.2694754302502,3.5,4,$
Z6AiU624nM_znSjCA-sljw,11582.424313792708,36.636818933541,-80.269538462162,3.5,3,$
Hhyb_XfMS8VzUJVmjw9DAQ,11241.379055967665,36.633594,-80.267894,4.0,1,$$
dVeaTe3GBtLLEqu7UTURmA,10390.81691017472,36.642797,-80.2484775,4.0,1,$
qR25ik6ui6Wd5GKkrZJ5CQ,11404.310536090477,36.6358986,-80.2697601,3.0,2,$
jbkWLnGPkZIz3y4iSQZy_A,9520.047160350998,36.6147727966309,-79.5791091918945,4.5,7,$
_GS4KGHc18R9tPXcu49XoA,9500.278114986651,36.61394,-79.57877,3.0,10,$
KZ4efGfDcKsfwnx-X1y-Bg,19413.321170220042,36.59514,-79.38517,4.5,50,$$
3DNl-JN3Pf0IxZZ82j6nBw,19723.538283481827,36.58824,-79.389714,4.5,77,$$
7nKj53wkuZaWv1ij2JN2MQ,23057.594663863165,36.6214311701051,-78.9197915419936,5.0,10,$
NEq2_RRSEFA8gWkuGvcG9w,19635.299355272426,36.58598,-79.38589,4.5,64,$$
72mRzk8jEn450JZ2kOoBBA,22770.41858296684,36.56879,-79.4255,5.0,16,$
ff7NlzFehYnGOXHWj9TKrA,27834.138842682256,36.6966356,-78.9009266,4.0,56,$$$
qX7LQYHUKZ9PJh-akOJYag,30584.708207793672,36.7650813,-78.9286051,5.0,45,$$$
ePVmlZdLaH0U4SOVKmrwNw,19690.502848055123,36.5874,-79.38945,4.0,124,$$
T89RYfxyiAP9QHc0Wwmdsg,27826.159217612505,36.6968879699707,-78.9012145996094,4.5,27,$
BmpZo6QadxpI-9-P60u2yA,31457.947841164896,36.7881799,-79.39448,4.5,13,$
SONOAKkzmrMvMnjjKe_spg,28756.24298145213,36.696988950531,-78.8892589509487,4.0,5,$$
Sdq4w915dc1-05Z8VuFf1g,31800.918109435523,36.79323,-79.39328,4.5,17,$$
ON2O-Lu48pBXLYJJPKrsnw,20648.0982620416,36.5972729,-79.3987449,5.0,4,$
XUrHDXPNRg2LBfpVOds3Vw,21263.41395431228,36.5577526872617,-78.9324056910156,3.5,10,$$
IKuYwmQuBCoju8TuXIQFkA,19439.9745221255,36.5957602,-79.3853435,4.5,83,$$
M4-vF0Djo05fNSzfDYwmfA,38987.739890586294,36.77457,-78.81496,4.0,14,$
Ubn-IklUW7gRa294ZHBu8g,24746.451457075433,36.698744,-78.943781,3.5,18,$$
ofVeobou5U59ijlxgvsy_g,29142.42354098127,36.741254,-78.9226987,4.0,13,$$
kgZGYtfnh2vlg9HJFt2yKQ,35418.93710626376,36.83261,-79.39514,4.5,7,$
8POl8k01SKA2fORkK1mCww,19452.889429103576,36.5853108779364,-79.3870138883848,4.0,35,$
CW7y2ih-E-2Lz7r0OEur_w,20625.53765177453,36.596749,-79.398585,4.0,35,$
3-IBbF42SwyoZG_9rOVG-g,30515.665874774513,36.7643254995346,-78.9285901933908,4.0,4,$
26vW0LYo3ZueQ_VZH7blUA,9697.959025068556,36.5802994,-79.2778168,3.0,1,$
XX45fR0pGYn9ha7jexa3KA,22781.71082483521,36.5868606567383,-79.4243469238281,3.5,45,$$
sPbcyBr6d2GpaotAAj8TiA,8930.669093482804,36.6144253433839,-78.5866641998291,4.5,27,$
rtEIj_llsJ__r-tbLASC5w,12098.367432757697,36.62617,-78.5538399,3.5,34,$$
QLr1Yh2iOzsrc6hi1EeAMw,27878.023394944987,36.66975,-78.3829,4.5,13,$$
tI_x0v8MZTRaKAAeKl54Nw,31466.626802297462,36.7961117,-78.4579538,4.5,4,$
EPD8aObH0X9i22XMKpXL7A,11815.559592511214,36.62463,-78.55637,3.5,17,$
866tD3QUwiuaXbmNYlJMVA,27381.010080210443,36.66684,-78.38769,5.0,2,$
QZwwWxlpm8XjKFKaYkPYgg,31646.848721744223,36.7989874,-78.4591046,4.0,9,$
eOMyyL5TzNpvjdXDGVLPOQ,11872.586322820891,36.6248054504395,-78.5558929443359,3.0,3,$
2LHfjPW9EBj45GvSKgWNMQ,30023.01369895698,36.8330731987953,-78.5943668335676,4.0,8,$
xYpilkuhUMz6JNMWh4aIyw,9893.124745752057,36.5436475,-78.7761418,3.0,2,$$
sC4C8nvsXRYwmDF1PmPNSw,24577.702054026082,36.7097284644842,-78.8835418224335,3.0,33,$$
ufY-iSBXlbr_TKh7l-wjSQ,30559.11845316093,36.79604,-78.47518,3.5,6,$$
